PARMS genManual=true tcDetailsClassName=JSR286SignatureTestCaseDetails singlePage=true
Class / Section;Keywords;Name;Testable;Description
Sig Tests Action;;;; 150 tests.
ActionRequest;SIG Action;fieldACTION_NAME;TRUE;ActionRequest has String field ACTION_NAME 
ActionRequest;SIG Action;implementsClientDataRequest;TRUE;ActionRequest implements ClientDataRequest 
ActionResponse;SIG Action;hasSendRedirect;TRUE;ActionResponse has a sendRedirect(String) throws java.io.IOException method 
ActionResponse;SIG Action;hasSendRedirectA;TRUE;ActionResponse has a sendRedirect(String, String) throws java.io.IOException method 
ActionResponse;SIG Action;hasSendRedirectReturns;TRUE;ActionResponse method sendRedirect(String) returns void 
ActionResponse;SIG Action;hasSendRedirectReturnsA;TRUE;ActionResponse method sendRedirect(String, String) returns void 
ActionResponse;SIG Action;implementsStateAwareResponse;TRUE;ActionResponse implements StateAwareResponse 
ClientDataRequest;SIG Action;hasGetCharacterEncoding;TRUE;ActionRequest has a getCharacterEncoding()  method 
ClientDataRequest;SIG Action;hasGetCharacterEncodingReturns;TRUE;ActionRequest method getCharacterEncoding() returns String 
ClientDataRequest;SIG Action;hasGetContentLength;TRUE;ActionRequest has a getContentLength()  method 
ClientDataRequest;SIG Action;hasGetContentLengthReturns;TRUE;ActionRequest method getContentLength() returns int 
ClientDataRequest;SIG Action;hasGetContentType;TRUE;ActionRequest has a getContentType()  method 
ClientDataRequest;SIG Action;hasGetContentTypeReturns;TRUE;ActionRequest method getContentType() returns String 
ClientDataRequest;SIG Action;hasGetMethod;TRUE;ActionRequest has a getMethod()  method 
ClientDataRequest;SIG Action;hasGetMethodReturns;TRUE;ActionRequest method getMethod() returns String 
ClientDataRequest;SIG Action;hasGetPortletInputStream;TRUE;ActionRequest has a getPortletInputStream() throws java.io.IOException method 
ClientDataRequest;SIG Action;hasGetPortletInputStreamReturns;TRUE;ActionRequest method getPortletInputStream() returns java.io.InputStream 
ClientDataRequest;SIG Action;hasGetReader;TRUE;ActionRequest has a getReader() throws java.io.UnsupportedEncodingException, java.io.IOException method 
ClientDataRequest;SIG Action;hasGetReaderReturns;TRUE;ActionRequest method getReader() returns java.io.BufferedReader 
ClientDataRequest;SIG Action;hasSetCharacterEncoding;TRUE;ActionRequest has a setCharacterEncoding(String) throws java.io.UnsupportedEncodingException method 
ClientDataRequest;SIG Action;hasSetCharacterEncodingReturns;TRUE;ActionRequest method setCharacterEncoding(String) returns void 
ClientDataRequest;SIG Action;implementsPortletRequest;TRUE;ActionRequest implements PortletRequest 
PortletRequest;SIG Action;fieldACTION_PHASE;TRUE;ActionRequest has String field ACTION_PHASE 
PortletRequest;SIG Action;fieldACTION_SCOPE_ID;TRUE;ActionRequest has String field ACTION_SCOPE_ID 
PortletRequest;SIG Action;fieldBASIC_AUTH;TRUE;ActionRequest has String field BASIC_AUTH 
PortletRequest;SIG Action;fieldCCPP_PROFILE;TRUE;ActionRequest has String field CCPP_PROFILE 
PortletRequest;SIG Action;fieldCLIENT_CERT_AUTH;TRUE;ActionRequest has String field CLIENT_CERT_AUTH 
PortletRequest;SIG Action;fieldDIGEST_AUTH;TRUE;ActionRequest has String field DIGEST_AUTH 
PortletRequest;SIG Action;fieldEVENT_PHASE;TRUE;ActionRequest has String field EVENT_PHASE 
PortletRequest;SIG Action;fieldFORM_AUTH;TRUE;ActionRequest has String field FORM_AUTH 
PortletRequest;SIG Action;fieldLIFECYCLE_PHASE;TRUE;ActionRequest has String field LIFECYCLE_PHASE 
PortletRequest;SIG Action;fieldRENDER_HEADERS;TRUE;ActionRequest has String field RENDER_HEADERS 
PortletRequest;SIG Action;fieldRENDER_MARKUP;TRUE;ActionRequest has String field RENDER_MARKUP 
PortletRequest;SIG Action;fieldRENDER_PART;TRUE;ActionRequest has String field RENDER_PART 
PortletRequest;SIG Action;fieldRENDER_PHASE;TRUE;ActionRequest has String field RENDER_PHASE 
PortletRequest;SIG Action;fieldRESOURCE_PHASE;TRUE;ActionRequest has String field RESOURCE_PHASE 
PortletRequest;SIG Action;fieldUSER_INFO;TRUE;ActionRequest has String field USER_INFO 
PortletRequest;SIG Action;hasGetAttribute;TRUE;ActionRequest has a getAttribute(String)  method 
PortletRequest;SIG Action;hasGetAttributeNames;TRUE;ActionRequest has a getAttributeNames()  method 
PortletRequest;SIG Action;hasGetAttributeNamesReturns;TRUE;ActionRequest method getAttributeNames() returns java.util.Enumeration 
PortletRequest;SIG Action;hasGetAttributeReturns;TRUE;ActionRequest method getAttribute(String) returns Object 
PortletRequest;SIG Action;hasGetAuthType;TRUE;ActionRequest has a getAuthType()  method 
PortletRequest;SIG Action;hasGetAuthTypeReturns;TRUE;ActionRequest method getAuthType() returns String 
PortletRequest;SIG Action;hasGetContextPath;TRUE;ActionRequest has a getContextPath()  method 
PortletRequest;SIG Action;hasGetContextPathReturns;TRUE;ActionRequest method getContextPath() returns String 
PortletRequest;SIG Action;hasGetCookies;TRUE;ActionRequest has a getCookies()  method 
PortletRequest;SIG Action;hasGetCookiesReturns;TRUE;ActionRequest method getCookies() returns javax.servlet.http.Cookie[] 
PortletRequest;SIG Action;hasGetLocale;TRUE;ActionRequest has a getLocale()  method 
PortletRequest;SIG Action;hasGetLocaleReturns;TRUE;ActionRequest method getLocale() returns java.util.Locale 
PortletRequest;SIG Action;hasGetLocales;TRUE;ActionRequest has a getLocales()  method 
PortletRequest;SIG Action;hasGetLocalesReturns;TRUE;ActionRequest method getLocales() returns java.util.Enumeration 
PortletRequest;SIG Action;hasGetParameter;TRUE;ActionRequest has a getParameter(String)  method 
PortletRequest;SIG Action;hasGetParameterMap;TRUE;ActionRequest has a getParameterMap()  method 
PortletRequest;SIG Action;hasGetParameterMapReturns;TRUE;ActionRequest method getParameterMap() returns java.util.Map 
PortletRequest;SIG Action;hasGetParameterNames;TRUE;ActionRequest has a getParameterNames()  method 
PortletRequest;SIG Action;hasGetParameterNamesReturns;TRUE;ActionRequest method getParameterNames() returns java.util.Enumeration 
PortletRequest;SIG Action;hasGetParameterReturns;TRUE;ActionRequest method getParameter(String) returns String 
PortletRequest;SIG Action;hasGetParameterValues;TRUE;ActionRequest has a getParameterValues(String)  method 
PortletRequest;SIG Action;hasGetParameterValuesReturns;TRUE;ActionRequest method getParameterValues(String) returns String[] 
PortletRequest;SIG Action;hasGetPortalContext;TRUE;ActionRequest has a getPortalContext()  method 
PortletRequest;SIG Action;hasGetPortalContextReturns;TRUE;ActionRequest method getPortalContext() returns PortalContext 
PortletRequest;SIG Action;hasGetPortletMode;TRUE;ActionRequest has a getPortletMode()  method 
PortletRequest;SIG Action;hasGetPortletModeReturns;TRUE;ActionRequest method getPortletMode() returns PortletMode 
PortletRequest;SIG Action;hasGetPortletSession;TRUE;ActionRequest has a getPortletSession()  method 
PortletRequest;SIG Action;hasGetPortletSessionA;TRUE;ActionRequest has a getPortletSession(boolean)  method 
PortletRequest;SIG Action;hasGetPortletSessionReturns;TRUE;ActionRequest method getPortletSession() returns PortletSession 
PortletRequest;SIG Action;hasGetPortletSessionReturnsA;TRUE;ActionRequest method getPortletSession(boolean) returns PortletSession 
PortletRequest;SIG Action;hasGetPreferences;TRUE;ActionRequest has a getPreferences()  method 
PortletRequest;SIG Action;hasGetPreferencesReturns;TRUE;ActionRequest method getPreferences() returns PortletPreferences 
PortletRequest;SIG Action;hasGetPrivateParameterMap;TRUE;ActionRequest has a getPrivateParameterMap()  method 
PortletRequest;SIG Action;hasGetPrivateParameterMapReturns;TRUE;ActionRequest method getPrivateParameterMap() returns java.util.Map 
PortletRequest;SIG Action;hasGetProperties;TRUE;ActionRequest has a getProperties(String)  method 
PortletRequest;SIG Action;hasGetPropertiesReturns;TRUE;ActionRequest method getProperties(String) returns java.util.Enumeration 
PortletRequest;SIG Action;hasGetProperty;TRUE;ActionRequest has a getProperty(String)  method 
PortletRequest;SIG Action;hasGetPropertyNames;TRUE;ActionRequest has a getPropertyNames()  method 
PortletRequest;SIG Action;hasGetPropertyNamesReturns;TRUE;ActionRequest method getPropertyNames() returns java.util.Enumeration 
PortletRequest;SIG Action;hasGetPropertyReturns;TRUE;ActionRequest method getProperty(String) returns String 
PortletRequest;SIG Action;hasGetPublicParameterMap;TRUE;ActionRequest has a getPublicParameterMap()  method 
PortletRequest;SIG Action;hasGetPublicParameterMapReturns;TRUE;ActionRequest method getPublicParameterMap() returns java.util.Map 
PortletRequest;SIG Action;hasGetRemoteUser;TRUE;ActionRequest has a getRemoteUser()  method 
PortletRequest;SIG Action;hasGetRemoteUserReturns;TRUE;ActionRequest method getRemoteUser() returns String 
PortletRequest;SIG Action;hasGetRequestedSessionId;TRUE;ActionRequest has a getRequestedSessionId()  method 
PortletRequest;SIG Action;hasGetRequestedSessionIdReturns;TRUE;ActionRequest method getRequestedSessionId() returns String 
PortletRequest;SIG Action;hasGetResponseContentType;TRUE;ActionRequest has a getResponseContentType()  method 
PortletRequest;SIG Action;hasGetResponseContentTypeReturns;TRUE;ActionRequest method getResponseContentType() returns String 
PortletRequest;SIG Action;hasGetResponseContentTypes;TRUE;ActionRequest has a getResponseContentTypes()  method 
PortletRequest;SIG Action;hasGetResponseContentTypesReturns;TRUE;ActionRequest method getResponseContentTypes() returns java.util.Enumeration 
PortletRequest;SIG Action;hasGetScheme;TRUE;ActionRequest has a getScheme()  method 
PortletRequest;SIG Action;hasGetSchemeReturns;TRUE;ActionRequest method getScheme() returns String 
PortletRequest;SIG Action;hasGetServerName;TRUE;ActionRequest has a getServerName()  method 
PortletRequest;SIG Action;hasGetServerNameReturns;TRUE;ActionRequest method getServerName() returns String 
PortletRequest;SIG Action;hasGetServerPort;TRUE;ActionRequest has a getServerPort()  method 
PortletRequest;SIG Action;hasGetServerPortReturns;TRUE;ActionRequest method getServerPort() returns int 
PortletRequest;SIG Action;hasGetUserPrincipal;TRUE;ActionRequest has a getUserPrincipal()  method 
PortletRequest;SIG Action;hasGetUserPrincipalReturns;TRUE;ActionRequest method getUserPrincipal() returns java.security.Principal 
PortletRequest;SIG Action;hasGetWindowID;TRUE;ActionRequest has a getWindowID()  method 
PortletRequest;SIG Action;hasGetWindowIDReturns;TRUE;ActionRequest method getWindowID() returns String 
PortletRequest;SIG Action;hasGetWindowState;TRUE;ActionRequest has a getWindowState()  method 
PortletRequest;SIG Action;hasGetWindowStateReturns;TRUE;ActionRequest method getWindowState() returns WindowState 
PortletRequest;SIG Action;hasIsPortletModeAllowed;TRUE;ActionRequest has a isPortletModeAllowed(PortletMode)  method 
PortletRequest;SIG Action;hasIsPortletModeAllowedReturns;TRUE;ActionRequest method isPortletModeAllowed(PortletMode) returns boolean 
PortletRequest;SIG Action;hasIsRequestedSessionIdValid;TRUE;ActionRequest has a isRequestedSessionIdValid()  method 
PortletRequest;SIG Action;hasIsRequestedSessionIdValidReturns;TRUE;ActionRequest method isRequestedSessionIdValid() returns boolean 
PortletRequest;SIG Action;hasIsSecure;TRUE;ActionRequest has a isSecure()  method 
PortletRequest;SIG Action;hasIsSecureReturns;TRUE;ActionRequest method isSecure() returns boolean 
PortletRequest;SIG Action;hasIsUserInRole;TRUE;ActionRequest has a isUserInRole(String)  method 
PortletRequest;SIG Action;hasIsUserInRoleReturns;TRUE;ActionRequest method isUserInRole(String) returns boolean 
PortletRequest;SIG Action;hasIsWindowStateAllowed;TRUE;ActionRequest has a isWindowStateAllowed(WindowState)  method 
PortletRequest;SIG Action;hasIsWindowStateAllowedReturns;TRUE;ActionRequest method isWindowStateAllowed(WindowState) returns boolean 
PortletRequest;SIG Action;hasRemoveAttribute;TRUE;ActionRequest has a removeAttribute(String)  method 
PortletRequest;SIG Action;hasRemoveAttributeReturns;TRUE;ActionRequest method removeAttribute(String) returns void 
PortletRequest;SIG Action;hasSetAttribute;TRUE;ActionRequest has a setAttribute(String, Object)  method 
PortletRequest;SIG Action;hasSetAttributeReturns;TRUE;ActionRequest method setAttribute(String, Object) returns void 
PortletResponse;SIG Action;hasAddProperty;TRUE;ActionResponse has a addProperty(String, String)  method 
PortletResponse;SIG Action;hasAddPropertyA;TRUE;ActionResponse has a addProperty(javax.servlet.http.Cookie)  method 
PortletResponse;SIG Action;hasAddPropertyB;TRUE;ActionResponse has a addProperty(String, org.w3c.dom.Element)  method 
PortletResponse;SIG Action;hasAddPropertyReturns;TRUE;ActionResponse method addProperty(String, String) returns void 
PortletResponse;SIG Action;hasAddPropertyReturnsA;TRUE;ActionResponse method addProperty(javax.servlet.http.Cookie) returns void 
PortletResponse;SIG Action;hasAddPropertyReturnsB;TRUE;ActionResponse method addProperty(String, org.w3c.dom.Element) returns void 
PortletResponse;SIG Action;hasCreateElement;TRUE;ActionResponse has a createElement(String) throws org.w3c.dom.DOMException method 
PortletResponse;SIG Action;hasCreateElementReturns;TRUE;ActionResponse method createElement(String) returns org.w3c.dom.Element 
PortletResponse;SIG Action;hasEncodeURL;TRUE;ActionResponse has a encodeURL(String)  method 
PortletResponse;SIG Action;hasEncodeURLReturns;TRUE;ActionResponse method encodeURL(String) returns String 
PortletResponse;SIG Action;hasGetNamespace;TRUE;ActionResponse has a getNamespace()  method 
PortletResponse;SIG Action;hasGetNamespaceReturns;TRUE;ActionResponse method getNamespace() returns String 
PortletResponse;SIG Action;hasSetProperty;TRUE;ActionResponse has a setProperty(String, String)  method 
PortletResponse;SIG Action;hasSetPropertyReturns;TRUE;ActionResponse method setProperty(String, String) returns void 
StateAwareResponse;SIG Action;hasGetPortletMode;TRUE;ActionResponse has a getPortletMode()  method 
StateAwareResponse;SIG Action;hasGetPortletModeReturns;TRUE;ActionResponse method getPortletMode() returns PortletMode 
StateAwareResponse;SIG Action;hasGetRenderParameterMap;TRUE;ActionResponse has a getRenderParameterMap()  method 
StateAwareResponse;SIG Action;hasGetRenderParameterMapReturns;TRUE;ActionResponse method getRenderParameterMap() returns java.util.Map 
StateAwareResponse;SIG Action;hasGetWindowState;TRUE;ActionResponse has a getWindowState()  method 
StateAwareResponse;SIG Action;hasGetWindowStateReturns;TRUE;ActionResponse method getWindowState() returns WindowState 
StateAwareResponse;SIG Action;hasRemovePublicRenderParameter;TRUE;ActionResponse has a removePublicRenderParameter(String)  method 
StateAwareResponse;SIG Action;hasRemovePublicRenderParameterReturns;TRUE;ActionResponse method removePublicRenderParameter(String) returns void 
StateAwareResponse;SIG Action;hasSetEvent;TRUE;ActionResponse has a setEvent(javax.xml.namespace.QName, java.io.Serializable)  method 
StateAwareResponse;SIG Action;hasSetEventA;TRUE;ActionResponse has a setEvent(String, java.io.Serializable)  method 
StateAwareResponse;SIG Action;hasSetEventReturns;TRUE;ActionResponse method setEvent(javax.xml.namespace.QName, java.io.Serializable) returns void 
StateAwareResponse;SIG Action;hasSetEventReturnsA;TRUE;ActionResponse method setEvent(String, java.io.Serializable) returns void 
StateAwareResponse;SIG Action;hasSetPortletMode;TRUE;ActionResponse has a setPortletMode(PortletMode) throws PortletModeException method 
StateAwareResponse;SIG Action;hasSetPortletModeReturns;TRUE;ActionResponse method setPortletMode(PortletMode) returns void 
StateAwareResponse;SIG Action;hasSetRenderParameter;TRUE;ActionResponse has a setRenderParameter(String, String)  method 
StateAwareResponse;SIG Action;hasSetRenderParameterA;TRUE;ActionResponse has a setRenderParameter(String, String[])  method 
StateAwareResponse;SIG Action;hasSetRenderParameterReturns;TRUE;ActionResponse method setRenderParameter(String, String) returns void 
